Username,IpAddress
vendor1,10.227.29.222
vendor1,10.122.248.62
vendor1,10.165.183.75
vendor1,10.223.102.69
vendor2,10.83.81.125
vendor2,10.168.133.158
vendor2,10.232.81.54
vendor2,10.214.80.39
vendor3,10.34.43.214
vendor3,10.36.25.250
vendor3,10.211.153.244
vendor3,10.19.204.127
vendor3,10.95.205.113
vendor3,10.250.244.39
vendor3,10.13.2.36
vendor3,10.122.7.11
vendor3,10.226.153.238
vendor4,10.130.167.244
vendor4,10.99.211.105
vendor4,10.118.235.255
vendor5,10.41.238.119
vendor5,10.96.197.185
vendor5,10.91.51.157
vendor6,10.194.39.70
vendor6,10.222.253.61
vendor6,10.70.249.239
vendor6,10.8.81.230
vendor6,10.97.137.200
vendor6,10.154.227.91
vendor7,10.50.104.104
vendor7,10.25.104.202
vendor7,10.225.107.97
vendor7,10.224.91.214
vendor8,10.240.231.130
vendor8,10.105.211.44
vendor8,10.18.109.59
vendor8,10.39.180.201
vendor8,10.45.221.156
vendor8,10.18.145.74
vendor8,10.232.187.60
vendor8,10.99.73.50
vendor8,10.228.202.205
vendor9,10.63.201.49
vendor9,10.192.117.170
vendor9,10.205.15.179
vendor9,10.204.238.127
vendor9,10.40.196.86
vendor9,10.157.1.223
vendor9,10.176.238.9
vendor10,10.244.196.49
vendor10,10.24.83.73
vendor10,10.227.84.61
vendor10,10.78.161.233
vendor10,10.214.21.78
vendor10,10.240.82.208
vendor10,10.122.65.93
vendor10,10.236.35.137
vendor10,10.69.225.120
VendorA,10.89.89.2
VendorA,10.89.89.3
VendorA,10.89.89.4
VendorB,10.89.90.2
VendorB,10.89.90.3
VendorB,10.89.90.4
VendorC,10.89.91.2
VendorC,10.89.91.3
VendorC,10.89.91.4
